[11:29:14.061] [T1] trace | KOTU v0.345.0 · 2026-09-06 11:29:14 · pid 7648
[11:29:16.787] [T1] shell | ShowModule allreadable path=(none)
[11:29:16.798] [T1] smtc | Attach (none)
[11:29:16.811] [T1] nav | NavigateToAsync C:\Users\tsusa\OneDrive - Automanix\그림 exts=48
[11:29:16.821] [T1] tiles | ShowLoading C:\Users\tsusa\OneDrive - Automanix\그림
[11:29:16.827] [T1] nav | scan done C:\Users\tsusa\OneDrive - Automanix\그림 count=64
[11:29:16.828] [T1] nav | RefreshView C:\Users\tsusa\OneDrive - Automanix\그림 count=64
[11:29:16.832] [T1] tiles | ShowEntries C:\Users\tsusa\OneDrive - Automanix\그림 count=64
[11:29:16.848] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\240323 강가 별장
[11:29:16.863] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\240323 강가 별장
[11:29:16.876] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\Feedback
[11:29:16.877] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\Saved Pictures
[11:29:16.878] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\Scan
[11:29:16.880] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\Screenshots
[11:29:16.881] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\Zwift
[11:29:16.882] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\바탕화면
[11:29:16.883] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\스캔
[11:29:16.885] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\스크린샷
[11:29:16.886] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\카메라 앨범
[11:29:16.887] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.jpeg
[11:29:16.897] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.jpg
[11:29:16.899] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.png
[11:29:16.900] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\AMX.jpg
[11:29:16.902] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\ARS-로고디자인_원본파일.png
[11:29:16.903] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\DALL·E 2024-07-22 16.05.33 - Simplified version of a logo for 'Automotive Research Solution' with the main elements being 'ARS' in a bold font and a sleek, modern car silhouette. .webp
[11:29:16.904] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\KakaoTalk_20200117_092011491.png
[11:29:16.905] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\KakaoTalk_20240703_110337676.jpg
[11:29:16.907] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\pexels-pixabay-37347.jpg
[11:29:16.908] [T1] tiles | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\pexels-polina-zimmerman-3778619.jpg
[11:29:16.913] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\Feedback
[11:29:16.916] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\Saved Pictures
[11:29:16.919] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\Scan
[11:29:16.921] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\Screenshots
[11:29:16.924] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\Zwift
[11:29:16.927] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\바탕화면
[11:29:16.930] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\스캔
[11:29:16.933] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\스크린샷
[11:29:16.935] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\카메라 앨범
[11:29:16.938] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.jpeg
[11:29:16.941] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.jpg
[11:29:16.944] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.png
[11:29:16.946] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\AMX.jpg
[11:29:16.949] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\ARS-로고디자인_원본파일.png
[11:29:16.952] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\DALL·E 2024-07-22 16.05.33 - Simplified version of a logo for 'Automotive Research Solution' with the main elements being 'ARS' in a bold font and a sleek, modern car silhouette. .webp
[11:29:16.954] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\KakaoTalk_20200117_092011491.png
[11:29:16.957] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\KakaoTalk_20240703_110337676.jpg
[11:29:16.960] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\pexels-pixabay-37347.jpg
[11:29:16.963] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\pexels-polina-zimmerman-3778619.jpg
[11:29:16.965] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220709_232639106_2.jpg
[11:29:16.968] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220714_125035942_2.jpg
[11:29:16.971] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220714_125148380_2.jpg
[11:29:16.973] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220719_121308973_2.jpg
[11:29:16.976] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220726_125747369_2.jpg
[11:29:16.979] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220804_125449327_2.jpg
[11:29:16.981] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220812_121956977_2.jpg
[11:29:16.984] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220813_214558393_2.jpg
[11:29:16.987] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220817_112931072_2.jpg
[11:29:16.990] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220824_112948946_2.jpg
[11:29:16.992] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220827_001839431_2.jpg
[11:29:17.118] [T1] tiles | fill cached C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.jpeg
[11:29:17.121] [T1] tiles | fill cached C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.jpg
[11:29:17.122] [T1] tiles | fill cached C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.png
[11:29:17.123] [T1] tiles | fill cached C:\Users\tsusa\OneDrive - Automanix\그림\AMX.jpg
[11:29:17.124] [T1] tiles | fill cached C:\Users\tsusa\OneDrive - Automanix\그림\ARS-로고디자인_원본파일.png
[11:29:17.124] [T1] tiles | fill cached C:\Users\tsusa\OneDrive - Automanix\그림\DALL·E 2024-07-22 16.05.33 - Simplified version of a logo for 'Automotive Research Solution' with the main elements being 'ARS' in a bold font and a sleek, modern car silhouette. .webp
[11:29:17.125] [T1] tiles | fill cached C:\Users\tsusa\OneDrive - Automanix\그림\KakaoTalk_20200117_092011491.png
[11:29:17.126] [T1] tiles | fill cached C:\Users\tsusa\OneDrive - Automanix\그림\KakaoTalk_20240703_110337676.jpg
[11:29:17.127] [T1] tiles | fill cached C:\Users\tsusa\OneDrive - Automanix\그림\pexels-pixabay-37347.jpg
[11:29:17.127] [T1] tiles | fill cached C:\Users\tsusa\OneDrive - Automanix\그림\pexels-polina-zimmerman-3778619.jpg
[11:29:17.130] [T11] exc | OperationCanceledException: The operation was canceled. @ at System.Threading.CancellationToken.ThrowOperationCanceledException()
[11:29:17.130] [T11] exc | OperationCanceledException: The operation was canceled. @ at System.Threading.SemaphoreSlim.Wait(Int32 millisecondsTimeout, CancellationToken cancellationToken)
[11:29:17.189] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220827_230734531_2.jpg
[11:29:17.193] [T1] list | phase0 C:\Users\tsusa\OneDrive - Automanix\그림\PXL_20220831_130316984_2.jpg
[11:29:17.245] [T1] tiles | cached done C:\Users\tsusa\OneDrive - Automanix\그림\KakaoTalk_20200117_092011491.png
[11:29:17.246] [T1] tiles | cached done C:\Users\tsusa\OneDrive - Automanix\그림\AMX.jpg
[11:29:17.246] [T1] tiles | cached done C:\Users\tsusa\OneDrive - Automanix\그림\ARS-로고디자인_원본파일.png
[11:29:17.246] [T1] tiles | cached done C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.jpg
[11:29:17.247] [T1] tiles | cached done C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.png
[11:29:17.247] [T1] tiles | cached done C:\Users\tsusa\OneDrive - Automanix\그림\pexels-polina-zimmerman-3778619.jpg
[11:29:17.247] [T1] tiles | cached done C:\Users\tsusa\OneDrive - Automanix\그림\pexels-pixabay-37347.jpg
[11:29:17.247] [T1] tiles | cached done C:\Users\tsusa\OneDrive - Automanix\그림\220731 강화도.mp4_005246116.jpeg
[11:29:17.248] [T1] tiles | cached done C:\Users\tsusa\OneDrive - Automanix\그림\KakaoTalk_20240703_110337676.jpg
[11:29:17.248] [T1] tiles | cached done C:\Users\tsusa\OneDrive - Automanix\그림\DALL·E 2024-07-22 16.05.33 - Simplified version of a logo for 'Automotive Research Solution' with the main elements being 'ARS' in a bold font and a sleek, modern car silhouette. .webp
